PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS,,,,,,,,,,,,,,
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2010,40,X,2.13477,X,X,X,X,X,X,249,35,11664
States,Alabama,2010,41,X,2.05999,X,X,X,X,X,X,239,31,11602
States,Alabama,2010,42,X,1.94224,X,X,X,X,X,X,232,33,11945
States,Alabama,2010,43,X,2.2765,X,X,X,X,X,X,274,36,12036
States,Alabama,2010,44,X,2.83371,X,X,X,X,X,X,342,35,12069
States,Alabama,2010,45,X,3.46224,X,X,X,X,X,X,419,34,12102
States,Alabama,2010,46,X,3.53248,X,X,X,X,X,X,434,33,12286
States,Alabama,2010,47,X,4.27655,X,X,X,X,X,X,360,33,8418
States,Alabama,2010,48,X,4.44043,X,X,X,X,X,X,467,35,10517
States,Alabama,2010,49,X,5.81097,X,X,X,X,X,X,656,37,11289
States,Alabama,2010,50,X,10.4359,X,X,X,X,X,X,1245,36,11930
States,Alabama,2010,51,X,13.0878,X,X,X,X,X,X,1297,36,9910
States,Alabama,2010,52,X,11.6592,X,X,X,X,X,X,1274,38,10927
States,Alabama,2011,1,X,9.73755,X,X,X,X,X,X,1191,37,12231
States,Alabama,2011,2,X,11.944,X,X,X,X,X,X,1195,38,10005
States,Alabama,2011,3,X,13.1063,X,X,X,X,X,X,1624,38,12391
States,Alabama,2011,4,X,14.7376,X,X,X,X,X,X,1938,39,13150
States,Alabama,2011,5,X,12.5984,X,X,X,X,X,X,1504,36,11938
States,Alabama,2011,6,X,11.5078,X,X,X,X,X,X,1586,38,13782
States,Alabama,2011,7,X,11.9696,X,X,X,X,X,X,1450,35,12114
States,Alabama,2011,8,X,9.67196,X,X,X,X,X,X,1200,33,12407
States,Alabama,2011,9,X,6.80203,X,X,X,X,X,X,737,32,10835
States,Alabama,2011,10,X,5.82572,X,X,X,X,X,X,593,30,10179
States,Alabama,2011,11,X,4.04606,X,X,X,X,X,X,390,29,9639
States,Alabama,2011,12,X,3.43834,X,X,X,X,X,X,334,29,9714
States,Alabama,2011,13,X,3.17374,X,X,X,X,X,X,291,28,9169
States,Alabama,2011,14,X,2.74659,X,X,X,X,X,X,252,27,9175
States,Alabama,2011,15,X,2.67592,X,X,X,X,X,X,189,24,7063
States,Alabama,2011,16,X,2.76866,X,X,X,X,X,X,194,24,7007
States,Alabama,2011,17,X,3.28311,X,X,X,X,X,X,207,23,6305
States,Alabama,2011,18,X,3.00455,X,X,X,X,X,X,198,21,6590
States,Alabama,2011,19,X,2.64628,X,X,X,X,X,X,180,22,6802
States,Alabama,2011,20,X,2.46441,X,X,X,X,X,X,161,21,6533
States,Alabama,2011,21,X,2.72831,X,X,X,X,X,X,167,21,6121
States,Alabama,2011,22,X,2.54511,X,X,X,X,X,X,134,19,5265
States,Alabama,2011,23,X,2.38925,X,X,X,X,X,X,144,19,6027
States,Alabama,2011,24,X,2.51859,X,X,X,X,X,X,149,19,5916
States,Alabama,2011,25,X,1.79372,X,X,X,X,X,X,96,18,5352
States,Alabama,2011,26,X,2.36038,X,X,X,X,X,X,112,17,4745
States,Alabama,2011,27,X,1.84216,X,X,X,X,X,X,88,17,4777
States,Alabama,2011,28,X,1.88256,X,X,X,X,X,X,109,17,5790
States,Alabama,2011,29,X,1.3618,X,X,X,X,X,X,74,16,5434
States,Alabama,2011,30,X,1.3122,X,X,X,X,X,X,77,17,5868
States,Alabama,2011,31,X,0.340219,X,X,X,X,X,X,14,14,4115
States,Alabama,2011,32,X,1.79206,X,X,X,X,X,X,111,18,6194
States,Alabama,2011,33,X,2.1645,X,X,X,X,X,X,130,18,6006
States,Alabama,2011,34,X,2.3037,X,X,X,X,X,X,142,17,6164
States,Alabama,2011,35,X,2.34438,X,X,X,X,X,X,145,16,6185
States,Alabama,2011,36,X,3.44828,X,X,X,X,X,X,181,17,5249
States,Alabama,2011,37,X,3.55951,X,X,X,X,X,X,224,18,6293
States,Alabama,2011,38,X,3.38738,X,X,X,X,X,X,234,21,6908
States,Alabama,2011,39,X,3.46445,X,X,X,X,X,X,229,19,6610
States,Alabama,2011,40,X,2.49486,X,X,X,X,X,X,267,28,10702
States,Alabama,2011,41,X,2.82808,X,X,X,X,X,X,317,29,11209
States,Alabama,2011,42,X,3.4254,X,X,X,X,X,X,315,26,9196
States,Alabama,2011,43,X,3.83396,X,X,X,X,X,X,387,28,10094
States,Alabama,2011,44,X,3.79415,X,X,X,X,X,X,362,27,9541
States,Alabama,2011,45,X,4.19269,X,X,X,X,X,X,396,28,9445
States,Alabama,2011,46,X,3.28321,X,X,X,X,X,X,286,26,8711
States,Alabama,2011,47,X,4.25935,X,X,X,X,X,X,337,27,7912
States,Alabama,2011,48,X,3.32254,X,X,X,X,X,X,318,28,9571
States,Alabama,2011,49,X,4.55241,X,X,X,X,X,X,387,25,8501
States,Alabama,2011,50,X,4.85437,X,X,X,X,X,X,425,28,8755
States,Alabama,2011,51,X,5.43074,X,X,X,X,X,X,394,26,7255
States,Alabama,2011,52,X,5.80195,X,X,X,X,X,X,416,26,7170
States,Alabama,2012,1,X,4.61064,X,X,X,X,X,X,389,28,8437
States,Alabama,2012,2,X,4.90335,X,X,X,X,X,X,449,26,9157
States,Alabama,2012,3,X,5.7911,X,X,X,X,X,X,545,27,9411
States,Alabama,2012,4,X,6.26227,X,X,X,X,X,X,606,27,9677
States,Alabama,2012,5,X,6.59096,X,X,X,X,X,X,650,27,9862
States,Alabama,2012,6,X,6.43108,X,X,X,X,X,X,697,28,10838
States,Alabama,2012,7,X,6.75035,X,X,X,X,X,X,726,28,10755
States,Alabama,2012,8,X,6.07355,X,X,X,X,X,X,654,27,10768
States,Alabama,2012,9,X,6.24526,X,X,X,X,X,X,577,27,9239
States,Alabama,2012,10,X,6.25613,X,X,X,X,X,X,574,26,9175
States,Alabama,2012,11,X,5.94763,X,X,X,X,X,X,552,25,9281
States,Alabama,2012,12,X,4.58877,X,X,X,X,X,X,366,24,7976
States,Alabama,2012,13,X,4.43559,X,X,X,X,X,X,334,25,7530
States,Alabama,2012,14,X,3.89306,X,X,X,X,X,X,316,25,8117
States,Alabama,2012,15,X,3.75332,X,X,X,X,X,X,297,25,7913
States,Alabama,2012,16,X,4.34298,X,X,X,X,X,X,351,24,8082
States,Alabama,2012,17,X,4.44388,X,X,X,X,X,X,350,22,7876
States,Alabama,2012,18,X,4.74534,X,X,X,X,X,X,341,20,7186
States,Alabama,2012,19,X,4.27042,X,X,X,X,X,X,331,21,7751
States,Alabama,2012,20,X,5.21549,X,X,X,X,X,X,357,20,6845
States,Alabama,2012,21,X,3.83966,X,X,X,X,X,X,250,19,6511
States,Alabama,2012,22,X,4.1884,X,X,X,X,X,X,257,19,6136
States,Alabama,2012,23,X,4.56501,X,X,X,X,X,X,244,17,5345
States,Alabama,2012,24,X,3.64437,X,X,X,X,X,X,207,18,5680
States,Alabama,2012,25,X,1.05795,X,X,X,X,X,X,44,17,4159
States,Alabama,2012,26,X,3.61162,X,X,X,X,X,X,199,17,5510
States,Alabama,2012,27,X,3.61815,X,X,X,X,X,X,177,17,4892
States,Alabama,2012,28,X,3.42731,X,X,X,X,X,X,186,17,5427
States,Alabama,2012,29,X,3.02515,X,X,X,X,X,X,160,16,5289
States,Alabama,2012,30,X,3.19846,X,X,X,X,X,X,166,16,5190
States,Alabama,2012,31,X,3.32887,X,X,X,X,X,X,174,16,5227
States,Alabama,2012,32,X,2.69509,X,X,X,X,X,X,153,16,5677
States,Alabama,2012,33,X,3.37965,X,X,X,X,X,X,197,15,5829
States,Alabama,2012,34,X,4.09013,X,X,X,X,X,X,216,15,5281
States,Alabama,2012,35,X,4.86064,X,X,X,X,X,X,286,15,5884
States,Alabama,2012,36,X,4.88327,X,X,X,X,X,X,274,16,5611
States,Alabama,2012,37,X,5.23432,X,X,X,X,X,X,277,15,5292
States,Alabama,2012,38,X,4.4622,X,X,X,X,X,X,268,16,6006
States,Alabama,2012,39,X,4.94924,X,X,X,X,X,X,312,18,6304
States,Alabama,2012,40,X,1.49404,X,X,X,X,X,X,238,39,15930
States,Alabama,2012,41,X,1.98826,X,X,X,X,X,X,288,34,14485
States,Alabama,2012,42,X,1.70858,X,X,X,X,X,X,265,35,15510
States,Alabama,2012,43,X,1.564,X,X,X,X,X,X,261,36,16688
States,Alabama,2012,44,X,1.71254,X,X,X,X,X,X,275,35,16058
States,Alabama,2012,45,X,2.11597,X,X,X,X,X,X,335,34,15832
States,Alabama,2012,46,X,3.00274,X,X,X,X,X,X,482,35,16052
States,Alabama,2012,47,X,5.24099,X,X,X,X,X,X,647,33,12345
States,Alabama,2012,48,X,5.29602,X,X,X,X,X,X,916,35,17296
States,Alabama,2012,49,X,8.76414,X,X,X,X,X,X,1480,33,16887
States,Alabama,2012,50,X,9.77209,X,X,X,X,X,X,1595,32,16322
States,Alabama,2012,51,X,10.3316,X,X,X,X,X,X,1508,29,14596
States,Alabama,2012,52,X,12.1174,X,X,X,X,X,X,1263,29,10423
States,Alabama,2013,1,X,7.66104,X,X,X,X,X,X,867,29,11317
