PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Montana,2010,40,X,0.0371195,X,X,X,X,X,X,1,7,2694
States,Montana,2010,41,X,0.180963,X,X,X,X,X,X,5,7,2763
States,Montana,2010,42,X,0.185874,X,X,X,X,X,X,5,7,2690
States,Montana,2010,43,X,0.0363901,X,X,X,X,X,X,1,7,2748
States,Montana,2010,44,X,0.0405186,X,X,X,X,X,X,1,7,2468
States,Montana,2010,45,X,0.243902,X,X,X,X,X,X,6,6,2460
States,Montana,2010,46,X,0.10993,X,X,X,X,X,X,3,6,2729
States,Montana,2010,47,X,0.537057,X,X,X,X,X,X,10,6,1862
States,Montana,2010,48,X,0.0380518,X,X,X,X,X,X,1,6,2628
States,Montana,2010,49,X,0.0359454,X,X,X,X,X,X,1,6,2782
States,Montana,2010,50,X,0.0772798,X,X,X,X,X,X,2,6,2588
States,Montana,2010,51,X,0.062422,X,X,X,X,X,X,1,6,1602
States,Montana,2010,52,X,0.234926,X,X,X,X,X,X,3,5,1277
States,Montana,2011,1,X,0,X,X,X,X,X,X,0,6,2164
States,Montana,2011,2,X,0.221926,X,X,X,X,X,X,5,6,2253
States,Montana,2011,3,X,0.251004,X,X,X,X,X,X,5,5,1992
States,Montana,2011,4,X,0.207828,X,X,X,X,X,X,6,6,2887
States,Montana,2011,5,X,0.836972,X,X,X,X,X,X,23,6,2748
States,Montana,2011,6,X,0.355114,X,X,X,X,X,X,10,6,2816
States,Montana,2011,7,X,0.701262,X,X,X,X,X,X,20,6,2852
States,Montana,2011,8,X,1.10193,X,X,X,X,X,X,28,6,2541
States,Montana,2011,9,X,1.11654,X,X,X,X,X,X,32,6,2866
States,Montana,2011,10,X,0.801165,X,X,X,X,X,X,22,6,2746
States,Montana,2011,11,X,0.815376,X,X,X,X,X,X,28,6,3434
States,Montana,2011,12,X,0.835189,X,X,X,X,X,X,30,6,3592
States,Montana,2011,13,X,0.4662,X,X,X,X,X,X,14,5,3003
States,Montana,2011,14,X,0.27933,X,X,X,X,X,X,6,5,2148
States,Montana,2011,15,X,0.235018,X,X,X,X,X,X,8,6,3404
States,Montana,2011,16,X,0.0297885,X,X,X,X,X,X,1,6,3357
States,Montana,2011,17,X,0,X,X,X,X,X,X,0,6,3262
States,Montana,2011,18,X,0,X,X,X,X,X,X,0,6,3191
States,Montana,2011,19,X,0,X,X,X,X,X,X,0,6,3023
States,Montana,2011,20,X,0,X,X,X,X,X,X,0,4,1696
States,Montana,2011,21,X,0,X,X,X,X,X,X,0,5,2497
States,Montana,2011,22,X,0,X,X,X,X,X,X,0,5,1779
States,Montana,2011,23,X,0,X,X,X,X,X,X,0,4,1220
States,Montana,2011,24,X,0,X,X,X,X,X,X,0,3,1472
States,Montana,2011,25,X,0,X,X,X,X,X,X,0,4,1198
States,Montana,2011,26,X,0,X,X,X,X,X,X,0,4,1692
States,Montana,2011,27,X,0,X,X,X,X,X,X,0,4,1470
States,Montana,2011,28,X,0,X,X,X,X,X,X,0,4,1649
States,Montana,2011,29,X,0,X,X,X,X,X,X,0,4,1158
States,Montana,2011,30,X,0,X,X,X,X,X,X,0,5,1406
States,Montana,2011,31,X,0,X,X,X,X,X,X,0,5,1241
States,Montana,2011,32,X,0,X,X,X,X,X,X,0,5,1330
States,Montana,2011,33,X,0,X,X,X,X,X,X,0,5,1392
States,Montana,2011,34,X,0,X,X,X,X,X,X,0,5,2168
States,Montana,2011,35,X,0,X,X,X,X,X,X,0,5,1991
States,Montana,2011,36,X,0,X,X,X,X,X,X,0,4,1517
States,Montana,2011,37,X,0,X,X,X,X,X,X,0,5,2049
States,Montana,2011,38,X,0.0530223,X,X,X,X,X,X,1,5,1886
States,Montana,2011,39,X,0,X,X,X,X,X,X,0,4,1668
States,Montana,2011,40,X,0,X,X,X,X,X,X,0,7,2331
States,Montana,2011,41,X,0.0907853,X,X,X,X,X,X,2,7,2203
States,Montana,2011,42,X,0.039604,X,X,X,X,X,X,1,7,2525
States,Montana,2011,43,X,0.15949,X,X,X,X,X,X,4,7,2508
States,Montana,2011,44,X,0.177148,X,X,X,X,X,X,4,7,2258
States,Montana,2011,45,X,0,X,X,X,X,X,X,0,7,2209
States,Montana,2011,46,X,0.120289,X,X,X,X,X,X,3,7,2494
States,Montana,2011,47,X,0.45425,X,X,X,X,X,X,7,7,1541
States,Montana,2011,48,X,0.294985,X,X,X,X,X,X,7,7,2373
States,Montana,2011,49,X,0.174749,X,X,X,X,X,X,4,7,2289
States,Montana,2011,50,X,0.129814,X,X,X,X,X,X,3,7,2311
States,Montana,2011,51,X,0.19305,X,X,X,X,X,X,3,7,1554
States,Montana,2011,52,X,0.165837,X,X,X,X,X,X,2,7,1206
States,Montana,2012,1,X,0.120555,X,X,X,X,X,X,2,7,1659
States,Montana,2012,2,X,0.201918,X,X,X,X,X,X,4,7,1981
States,Montana,2012,3,X,0.180397,X,X,X,X,X,X,3,7,1663
States,Montana,2012,4,X,0.171453,X,X,X,X,X,X,4,7,2333
States,Montana,2012,5,X,0.247117,X,X,X,X,X,X,6,7,2428
States,Montana,2012,6,X,0.27933,X,X,X,X,X,X,7,7,2506
States,Montana,2012,7,X,0.211238,X,X,X,X,X,X,5,7,2367
States,Montana,2012,8,X,0.741084,X,X,X,X,X,X,16,7,2159
States,Montana,2012,9,X,0.46875,X,X,X,X,X,X,12,7,2560
States,Montana,2012,10,X,0.845899,X,X,X,X,X,X,23,7,2719
States,Montana,2012,11,X,1.17335,X,X,X,X,X,X,31,7,2642
States,Montana,2012,12,X,0.744806,X,X,X,X,X,X,19,7,2551
States,Montana,2012,13,X,0.15674,X,X,X,X,X,X,4,7,2552
States,Montana,2012,14,X,0.185759,X,X,X,X,X,X,3,7,1615
States,Montana,2012,15,X,0.394737,X,X,X,X,X,X,9,6,2280
States,Montana,2012,16,X,0.0821693,X,X,X,X,X,X,2,6,2434
