PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New York,2010,40,X,0.26299,X,X,X,X,X,X,37,91,14069
States,New York,2010,41,X,0.369729,X,X,X,X,X,X,47,89,12712
States,New York,2010,42,X,0.362121,X,X,X,X,X,X,53,95,14636
States,New York,2010,43,X,0.358981,X,X,X,X,X,X,53,98,14764
States,New York,2010,44,X,0.527357,X,X,X,X,X,X,80,104,15170
States,New York,2010,45,X,0.504756,X,X,X,X,X,X,78,105,15453
States,New York,2010,46,X,0.503441,X,X,X,X,X,X,79,107,15692
States,New York,2010,47,X,0.54919,X,X,X,X,X,X,58,104,10561
States,New York,2010,48,X,1.62591,X,X,X,X,X,X,244,105,15007
States,New York,2010,49,X,2.1629,X,X,X,X,X,X,303,103,14009
States,New York,2010,50,X,2.68099,X,X,X,X,X,X,357,102,13316
States,New York,2010,51,X,3.84844,X,X,X,X,X,X,388,103,10082
States,New York,2010,52,X,4.19925,X,X,X,X,X,X,349,100,8311
States,New York,2011,1,X,2.87699,X,X,X,X,X,X,352,101,12235
States,New York,2011,2,X,3.45107,X,X,X,X,X,X,383,101,11098
States,New York,2011,3,X,3.07852,X,X,X,X,X,X,356,103,11564
States,New York,2011,4,X,3.35509,X,X,X,X,X,X,437,104,13025
States,New York,2011,5,X,4.04412,X,X,X,X,X,X,528,100,13056
States,New York,2011,6,X,3.89805,X,X,X,X,X,X,572,96,14674
States,New York,2011,7,X,4.03668,X,X,X,X,X,X,537,88,13303
States,New York,2011,8,X,3.74332,X,X,X,X,X,X,420,88,11220
States,New York,2011,9,X,2.72493,X,X,X,X,X,X,328,85,12037
States,New York,2011,10,X,2.7215,X,X,X,X,X,X,313,85,11501
States,New York,2011,11,X,3.02193,X,X,X,X,X,X,339,83,11218
States,New York,2011,12,X,2.3114,X,X,X,X,X,X,254,85,10989
States,New York,2011,13,X,2.02105,X,X,X,X,X,X,242,82,11974
States,New York,2011,14,X,2.22854,X,X,X,X,X,X,251,80,11263
States,New York,2011,15,X,2.3652,X,X,X,X,X,X,236,78,9978
States,New York,2011,16,X,2.23407,X,X,X,X,X,X,197,77,8818
States,New York,2011,17,X,1.35642,X,X,X,X,X,X,123,72,9068
