PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,New York City,2010,40,X,1.18222,X,X,X,X,X,X,1059,40,89577
States,New York City,2010,41,X,1.4023,X,X,X,X,X,X,1258,41,89710
States,New York City,2010,42,X,1.29124,X,X,X,X,X,X,1175,42,90998
States,New York City,2010,43,X,1.30236,X,X,X,X,X,X,1207,41,92678
States,New York City,2010,44,X,1.51508,X,X,X,X,X,X,1325,42,87454
States,New York City,2010,45,X,1.73829,X,X,X,X,X,X,1557,42,89571
States,New York City,2010,46,X,1.92684,X,X,X,X,X,X,1810,43,93936
States,New York City,2010,47,X,2.33103,X,X,X,X,X,X,1971,43,84555
States,New York City,2010,48,X,2.54207,X,X,X,X,X,X,2411,41,94844
States,New York City,2010,49,X,2.73001,X,X,X,X,X,X,2524,41,92454
States,New York City,2010,50,X,3.28095,X,X,X,X,X,X,3113,41,94881
States,New York City,2010,51,X,4.26261,X,X,X,X,X,X,3819,41,89593
States,New York City,2010,52,X,4.39746,X,X,X,X,X,X,3625,40,82434
States,New York City,2011,1,X,3.31107,X,X,X,X,X,X,3297,40,99575
States,New York City,2011,2,X,3.17028,X,X,X,X,X,X,2840,38,89582
States,New York City,2011,3,X,2.88202,X,X,X,X,X,X,2588,38,89798
States,New York City,2011,4,X,2.66343,X,X,X,X,X,X,2302,40,86430
States,New York City,2011,5,X,2.47319,X,X,X,X,X,X,2198,38,88873
States,New York City,2011,6,X,2.5069,X,X,X,X,X,X,2354,39,93901
States,New York City,2011,7,X,2.60075,X,X,X,X,X,X,2475,39,95165
States,New York City,2011,8,X,2.61527,X,X,X,X,X,X,2397,40,91654
States,New York City,2011,9,X,2.02996,X,X,X,X,X,X,1885,39,92859
States,New York City,2011,10,X,1.87236,X,X,X,X,X,X,1723,36,92023
States,New York City,2011,11,X,1.81647,X,X,X,X,X,X,1676,38,92267
States,New York City,2011,12,X,1.78756,X,X,X,X,X,X,1605,36,89787
States,New York City,2011,13,X,1.78081,X,X,X,X,X,X,1587,37,89117
States,New York City,2011,14,X,1.81267,X,X,X,X,X,X,1657,36,91412
States,New York City,2011,15,X,1.51109,X,X,X,X,X,X,1326,36,87751
States,New York City,2011,16,X,1.53094,X,X,X,X,X,X,1293,35,84458
States,New York City,2011,17,X,1.20351,X,X,X,X,X,X,1073,34,89156
States,New York City,2011,18,X,1.1382,X,X,X,X,X,X,1054,33,92602
States,New York City,2011,19,X,1.19437,X,X,X,X,X,X,1170,33,97960
States,New York City,2011,20,X,1.1343,X,X,X,X,X,X,1018,29,89747
States,New York City,2011,21,X,1.2915,X,X,X,X,X,X,1178,29,91212
States,New York City,2011,22,X,1.17933,X,X,X,X,X,X,1076,30,91238
States,New York City,2011,23,X,1.23374,X,X,X,X,X,X,1104,28,89484
States,New York City,2011,24,X,1.20635,X,X,X,X,X,X,1070,28,88697
States,New York City,2011,25,X,1.02117,X,X,X,X,X,X,908,27,88918
States,New York City,2011,26,X,1.04582,X,X,X,X,X,X,899,25,85961
States,New York City,2011,27,X,0.99031,X,X,X,X,X,X,838,23,84620
States,New York City,2011,28,X,0.851914,X,X,X,X,X,X,729,23,85572
States,New York City,2011,29,X,0.739156,X,X,X,X,X,X,629,24,85097
States,New York City,2011,30,X,0.77875,X,X,X,X,X,X,674,25,86549
States,New York City,2011,31,X,0.767207,X,X,X,X,X,X,630,27,82116
States,New York City,2011,32,X,0.79368,X,X,X,X,X,X,653,27,82275
States,New York City,2011,33,X,0.796782,X,X,X,X,X,X,620,26,77813
States,New York City,2011,34,X,0.85468,X,X,X,X,X,X,693,26,81083
States,New York City,2011,35,X,0.794999,X,X,X,X,X,X,641,27,80629
States,New York City,2011,36,X,0.797847,X,X,X,X,X,X,670,27,83976
States,New York City,2011,37,X,0.881381,X,X,X,X,X,X,768,29,87136
States,New York City,2011,38,X,0.837761,X,X,X,X,X,X,749,27,89405
States,New York City,2011,39,X,1.10942,X,X,X,X,X,X,1023,26,92210
States,New York City,2011,40,X,1.50103,X,X,X,X,X,X,1544,98,102863
States,New York City,2011,41,X,1.70548,X,X,X,X,X,X,1743,97,102200
States,New York City,2011,42,X,1.69853,X,X,X,X,X,X,1703,96,100263
States,New York City,2011,43,X,1.74476,X,X,X,X,X,X,1718,96,98466
States,New York City,2011,44,X,2.07693,X,X,X,X,X,X,2080,93,100148
States,New York City,2011,45,X,2.0803,X,X,X,X,X,X,2131,93,102437
States,New York City,2011,46,X,2.08287,X,X,X,X,X,X,2156,93,103511
States,New York City,2011,47,X,2.4584,X,X,X,X,X,X,2216,93,90140
States,New York City,2011,48,X,2.4683,X,X,X,X,X,X,2517,89,101973
States,New York City,2011,49,X,2.51266,X,X,X,X,X,X,2586,96,102919
States,New York City,2011,50,X,2.52157,X,X,X,X,X,X,2592,94,102793
States,New York City,2011,51,X,2.76592,X,X,X,X,X,X,2690,94,97255
States,New York City,2011,52,X,2.77299,X,X,X,X,X,X,2606,90,93978
States,New York City,2012,1,X,2.47646,X,X,X,X,X,X,2525,95,101960
States,New York City,2012,2,X,2.00634,X,X,X,X,X,X,2032,93,101279
States,New York City,2012,3,X,2.17501,X,X,X,X,X,X,2105,92,96781
States,New York City,2012,4,X,2.09783,X,X,X,X,X,X,2041,90,97291
States,New York City,2012,5,X,2.07838,X,X,X,X,X,X,2030,91,97672
States,New York City,2012,6,X,2.03964,X,X,X,X,X,X,2017,90,98890
States,New York City,2012,7,X,2.08228,X,X,X,X,X,X,2052,90,98546
States,New York City,2012,8,X,2.26111,X,X,X,X,X,X,2230,92,98624
States,New York City,2012,9,X,2.05097,X,X,X,X,X,X,2057,87,100294
States,New York City,2012,10,X,1.97496,X,X,X,X,X,X,2044,84,103496
States,New York City,2012,11,X,2.17971,X,X,X,X,X,X,2304,87,105702
States,New York City,2012,12,X,2.0823,X,X,X,X,X,X,2216,86,106421
